,Company Name,Comapany Website,Address,Contact,Phone No.
401,CÊLAVÍTA B.V.,www.celavita.nl,Puttensteinsveldweg 22 8091 BS Wezep The Netherlands,"Chantal Hengeveld-Feber, Product Manager FoodserviceProduct Manager FoodserviceJennefer Tuik, Product Manager RetailProduct Manager Retail",+31 388 459676
402,LES CELLIERS ASSOCIÉS,www.valderance.com,24 Rue de Dinan 22690 Pleudihen-sur-Rance France,"Philippe Coignat, Export ManagerExport ManagerSamantha Lebeslourd, Export Sales RepresentativeExport Sales Representative",+33 296 83 20 02
403,CEMOI CHOCOLATIER,www.cemoi.com,2980 Avenue Julien Panchot 66000 Perpignan Cedex France,"Jérome Verrechia, Commercial DirectorCommercial DirectorRaquel Renovato, Communication ManagerCommunication Manager",+33 4 68 56 35 35
404,CENTO GIDA TARIM ARACILIK INSAAT TURIZM,www.centospratico.com,Musabey Mah.Cavus Yolu Sok. No:3/1B Menemen 35660 Izmir Turkey,"Özlem Akgunduz, DirectorDirectorAli Duyar, OwnerOwner",+90 533 657 0848
405,CENTRALE DELLA FRUTTA SRL,www.centrraledellafrutta.it,Via Pedemontana Per Bannone 128 43029 Travesersetolo Italy,"Cristiana Guarnieri, BusinessBusinessBarbara Tirelli, AdministrationAdministration",+39 342 912 8266
406,CENTRO ESTERO PER L'INTERNAZIONALIZZAZIONE,www.centroestero.org,"Via Nizza, 262/56 10126 Torino Italy","Franco Caccia, Business Development CoordinatorBusiness Development CoordinatorFrancesca Bernardelli, Agrifood Marketing and Events OrganisationAgrifood Marketing and Events Organisation",+39 011 6700511
407,CEPEX TUNISIA,www.tunisiaexport.tn,"Maison de l'Exportateur, Centre Urbain Nord, BP 225 1080 Tunis Cedex Tunisia","Chehab Ben Ahmed, Chief Executive OfficerChief Executive Officer",+216 71 130 320
408,CERALIA GETREIDEPRODUKTE GMBH,www.ceralia.de,Edisonstr. 5 84453 Mühldorf Germany,"Ulrich Wernlein, Managing DirectorManaging DirectorGertrud Wohlfart, SalesSales",+49 8631 92696 00
409,CEREAL FOOD S.R.L.,www.cerealfood.it,Via Gribaudo 50 10034 Chivasso Italy,"Davide Muccia, Sales ManagerSales ManagerPaolo Saccone, Managing DirectorManaging Director",+39 011 918 3409
410,CEREAL TERRA SRL,www.cerealterra.it,Via Ricardesco 15/17 10073 Ciriè (Torino) Italy,"Maurizio Frignani, Responsabile CommercialeResponsabile Commerciale",+39 011 9222 629
411,CERELIA,www.cerelia.com,Baanhoek 186 3361 GN Sliedrecht The Netherlands,"Alphons de Vocht, Sales Director ExportSales Director ExportRon Holland, Sales DirectorSales Director",+31 184 444 800
412,"CERERA FOODS, UAB",www.cerera.com,"Kertupio 20B, Neveronys 54486 Kaunas district Lithuania","Jolita Kiseniene, General ManagerGeneral ManagerSkaiste Vasiliauskiene, Export ManagerExport Manager",+370 65039506
413,CERFOOD KFT,www.cerfood.com,Tarsoly utca 9. 6000 Kecskemét Hungary,"Krisztina Aratóné Zilahi, AssistantAssistant",+36 205062131
414,CERRETO S.R.L.,www.cerretobio.com,Via Verdi 15 42043 Gattatico Italy,"Mattia Cardazzi, Export ManagerExport ManagerMassimo Cangiotti, Export ManagerExport Manager",+39 0522 475811
415,CERTIFIED ORIGINS SPA,www.certifiedorigins.com/authentic-origins/,"Strada del Madonnino 7, Località Braccagni 58100 Braccagni Italy","Cosimo Pintore, Chief Commercial OfficerChief Commercial Officer",+39 0564 329 427
416,CG FOODS EUROPE D.O.O.,www.cgcorpglobal.com,"Ul. Blok 4 Radna Zona, Rumska Petlja 8 22400 Ruma Serbia","Predrag Bojovic, Export Sales ManagerExport Sales Manager",+381 609 553 080
417,"CHANGYA NEWMATERIAL TECHNOLOGY CO., LTD.",www.cnnbcy.com,"No. 766, Dongsheng Road, Jiaochuan Street, Zhenhai 315200 Ningbo China","Yuanbo Hu, Sales ManagerSales ManagerJianhai Xu, Chief Executive OfficerChief Executive Officer",+86 574 27905366
418,CHARCUPAC LES PROVINCES SA,www.charcupac.com,25-27 Rue Du Docteur Schweitzer 57130 Ars Sur Moselle France,"Fabrice Levy, Directeur GénéralDirecteur GénéralPierre Muller, Sales ManagerSales Manager",+33 3876 1613 1
419,CHARLES & ALICE SAS,www.charlesetalice.fr,Route de Livron Zone Industrielle 26400 Allex France,"Maxence Boutry, Export Sales ManagerExport Sales ManagerAnna Gardet, Business DeveloperBusiness Developer",+33 671 544 196
420,CHARLES BRANDING,www.charles.eu,Industriepark Noord 14 9100 Sint Niklaas Belgium,"Leen Van de Cruyce, Head of MarketingHead of MarketingSofie Geens, Marketing Project ManagerMarketing Project Manager",+32 3 760 12 50
421,CHARLIER-BRABO GROUP N.V.,www.cbg.be,Boomsesteenweg 28 2630 Aartselaar Belgium,"Raf De Smet, Category Manager FishCategory Manager FishKarin Lemmens, Commercial AssistantCommercial Assistant",+32 473 54 69 47
422,CHAVELAS LP,www.zagorisio-filo.gr,Koutselio 45221 Ioannina Greece,"Giorgos Xavelas, General ManagerGeneral Manager",
423,CHEESEPOP FOOD GROUP,www.cheesepopfoodgroup.com,Strijkviertel 19 3454 PH Utrecht The Netherlands,"Gert-Jan Rutgers, Chief Commercial OfficerChief Commercial OfficerAc Keizer, Business Development ManagerBusiness Development Manager",+31 85 4832900
424,CHEMBO S.A.,www.chembo.be,"ZI Ouest II, rue du Mont des Carliers 26 7522 Tournai Blandain Belgium","Ophélie Pierre, Social Media ManagerSocial Media ManagerDaisy Roobaert, Ressources HumainesRessources Humaines",+32 69 89 07 70
425,CHEMCOS LTD,www.chemcos.eu,8th March Street 44 6167 Yagoda Village Bulgaria,"Vassil Tomov, Chief Executive OfficerChief Executive Officer",+359 8820 22222
426,CHEMICAL FLACER S.R.L.,www.flacer.com,Loc. Bellaria 31/A 40036 Vado (BO) Italy,"Matteo Ceri, Chief Executive OfficerChief Executive OfficerFederico Azzolini, Export and International BusinessExport and International Business",+39 051 6778202
427,CHEMOTEX DECÍN A.S.,www.chemotex.cz,Tovarni 63 407 11 Decín XXXII Czech Republic,"Michal Urbanek, Financial ManagerFinancial ManagerVarduhi Sargsjan, Export ManagerExport Manager",+420 412 709 252
428,LES CHEVALIERS,www.ricar.net,Luzernestraat 39 2153 GM Nieuw Vennep The Netherlands,"Ric Zuiverloon, ExportExportKees de Zeeuw, SalesSales",+31 252 537 777
429,LES CHEVALIERS D'ARGOUGES,www.les-chevaliers-dargouges.com,826 route de l'Aubannerie Z.A. La Busnouvière 50860 Moyon Villages France,"Pierre-Yves Violette, Export ManagerExport ManagerLise Leclerc, Export AssistantExport Assistant",+33 2 33 56 56 23
430,CHIARA AMBRA GMBH,www.chiara-ambra.de,Chiara-Ambra-Platz 1 77743 Neuried Germany,"Leonie Kruß, Marketing ManagerMarketing ManagerMichael Schmiederer, Chief Executive OfficerChief Executive Officer",+49 7807 9566 290
431,CHICKLES GUM,www.chicklesgum.com,"Calle N, No. 6 Polígono Industrial El Oliveral 46394 Ribarroja Del Turia Spain","Jaume Palau Manzano, SalesSalesJuan Carlos Hernández, Sales ManagerSales Manager",+34 961 66 79 80
432,CHOC AND CO SA,www.chocandco.com,Avenue Robert Schuman 122 1401 Nivelles Belgium,"Florence Boucheron, Project ManagerProject ManagerAndrea Gembler, Chief Executive OfficerChief Executive Officer",+32 23 672027
433,CHOCMOD,www.chocmod.com,"1 Avenue de Flandre, BP 89 59435 Roncq Cedex France","Muriel Sucche, Sales and Marketing ManagerSales and Marketing ManagerLucie Grand, Export AssistantExport Assistant",+33 3 20 28 92 80
434,CHOCOLAT BERNRAIN AG,www.swisschocolate.ch,Bündstrasse 12 8280 Kreuzlingen Switzerland,"Marcel Leemann, Sales Manager Private LabelSales Manager Private LabelJavier Parra, Key Account Manager Private LabelKey Account Manager Private Label",+41 71 677 97 63
435,CHOCO TEAM LTD,www.chocoteam-bg.com,Industrial zone Golesh 1 6000 Stara Zagora Bulgaria,"Georgi Yorgov, Marketing ManagerMarketing Manager",+359 42 642065
436,CHRUPEX,www.chrupex.com,Przemyslowa 4 97-400 Belchatow Poland,"Emilian Lyga, Managing DirectorManaging Director",+48 663270167
437,CHURROS ORIGINAL IL,www.churrosoriginal.co.il/churros-original-frozen,9 Hamlacha Street 8305712 Kiryat Malachi Israel,"Ben Avivi, Chief Executive OfficerChief Executive OfficerOr Shiron, Export ManagerExport Manager",+972 528641581
438,CIEMME LIQUORI SPA,www.ciemmeliquori.com,Via Grecorcic 28 34170 Gorizia Italy,"Vittorio Brasca, Chief Executive OfficerChief Executive Officer",+39 0481 21971
439,CIFTCILER BIRLIK KAGITCILIK A.S.,www.cihangroup.com,Orta Mh. Marifet Sok. No:15/1 A Kartal 34880 Istanbul Turkey,"Seda Paflak, Marketing ManagerMarketing Manager",+90 532 447 9782
440,CIGIR KIMYA SAN. VE TIC. A.S.,www.silvershoecare.com,"Yesilköy Mah. Atatürk Cad. BI.N. 12 EGS Business Park B2 Blok No:1 34010 Bakirköy, Istanbul Turkey","Ceren Akin, Export Sales ExecutiveExport Sales Executive",+90 212 871 44 01
441,CILENTO SPA,www.cilentospa.it,Via Campo Felice 111 81030 Cellole Italy,"Damiano Cilento, Sales ManagerSales ManagerArmando Cilento, SalesSales",+39 0823 932007
442,CITE GOURMANDE,www.citegourmande.fr,Agropole Zac 2 BP 113 47931 Agen France,"Aurore Roussel, Responsable MarketingResponsable Marketing",+33 5 53778479
443,CITRES SPA,www.citres.com,Via del Giglio 19 37051 Bovolone (VR) Italy,"Nicola Imberti, Export ManagerExport Manager",+39 045 7134799
444,"CITY FARM INTERFOOD CO., LTD",www.cityfarminterfood.com,"25 Moo 6 Samutsongkram-Bangpae Road, Banprok, Muang 75000 Samutsongkram Thailand","Punee Ruangsomboon, International SalesInternational SalesPrakaijit Suraamornkul, Regional Sales ManagerRegional Sales Manager",+66 814662388
445,CLAREBOUT POTATOES NV,www.clarebout.com,Heirweg 26 8950 Nieuwkerke Belgium,"Jan Clarebout, Managing DirectorManaging Director",+32 57 44 69 01
446,CLAS S.P.A.,www.claspesto.com,"Via Monte Pasubio, 37 18027 Chiusanico (IM) Italy","Fabrizio Bruna, Customer CareCustomer Care",+39 0183 529027
447,CLECA S.P.A.,www.cleca.com,Viale Dante Alighieri 30 46010 S. Martino dall'Argine (MN) Italy,"Carlo Zanetti, Chief Executive OfficerChief Executive OfficerRachele Zanetti, Private Label and Export ManagerPrivate Label and Export Manager",+39 0376 9222211
448,CLEYS SRL,www.cleys.it,Via Luigi Galvani 20080 Ozzero Italy,"Marta Geraci, Marketing ManagerMarketing ManagerAgnese Bellocchio, Commercial DirectorCommercial Director",+39 3493095281
449,CMC CONSUMER MEDICAL CARE GMBH,www.cmc-group.de,Eichendorffstraße 12-14 89567 Sontheim/Brenz Germany,"Birgit Löw, Director Sales and MarketingDirector Sales and MarketingRebecca Haeussler, Senior Project Manager CommunicationSenior Project Manager Communication",+49 7325 9244 0
450,COBECO PHARMA MANUFACTURING B.V.,www.cobeco-privatelabel.com,Hertzstraat 2 2652 XX Berkel en Rodenrijs The Netherlands,"Martijn Hillen, Operational ManagerOperational Manager",+31 10 2900991
451,COCKTAIL HOUSE S.R.L.,www.spiritococktails.com,Via Francesco Lana 52 25020 Flero Italy,"Chiara Barbieri, Marketing ManagerMarketing ManagerMonica Ferrara, Sales ManagerSales Manager",+39 030 7284909
452,"COCODOR CO., LTD.",www.cocodor.com,"145-17, Wangdam-ro Mohyeon-eup, Cheoin-gu 17035 Yongin-si South Korea","Yeoǌae Chung, Chief Executive OfficerChief Executive OfficerHyewon Cho, ManagerManager",+82 31 335 3303
453,CODI GROUP,www.codigroup.com,Accustraat 10 3903 LX Veenendaal The Netherlands,"Joyce Mantel, Marketing DirectorMarketing DirectorIngrid van Deuveren, Lead Communication and DesignLead Communication and Design",+31 318 564 813
454,COELSANUS INDUSTRIA CONSERVE SPA,www.coelsanus.com,Via Ca' Berta 1 36040 Sossano (VI) Italy,"Michela Salamon, Export DepartmentExport DepartmentGiulia Zanier, Export DepartmentExport Department",+39 0444 884600
455,COFFEE PLANET L.L.C.,www.coffeeplanet.com,"Al Quoz Industrial 3, CBD Bld Mezannine Floor Office 8 000 Dubai United Arab Emirates","Nikolina Ivanova, Head of SalesHead of Sales",+971 561748414
456,COFFEE PROMOTION SP. Z O.O.,www.coffeepromotion.pl,"Mareza, ul. Korzeniewska 19B 82-500 Kwidzyn Poland","Lukasz Pelczarski, OwnerOwnerGrzegorz Mizwinski, DirectorDirector",+48 55 262 3860
457,COFFEEROOTS,www.coffeeroots.com,Kasteleinsstraat 19 9150 Kruibeke Belgium,"Koen Liekens, Sales ManagerSales ManagerOlivier Fransen, Sales ManagerSales Manager",+32 325 31800
458,COFIGEO,www.cofigeo.com,2 Rue du Docteur Lombard 92441 Issy-Les-Moulineaux France,"Julian Fressy, Compte Clé B To BCompte Clé B To BEric Lemonnier, Dir MDD / Export / BtoBDir MDD / Export / BtoB",+33 6 20 02 43 20
459,COFISA – CONSERVAS DE PEIXE DA FIGUEIRA SA,www.cofisa.pt,Terrapleno do Porto de Pesca Gala 3090-735 Figueira da Foz Portugal,"João Pedrosa, Commercial ManagerCommercial Manager",+351 233 407 730
460,COIND S.C.,www.coind.it,Via Saliceto 22/h 40013 Castel Maggiore (BO) Italy,"Kristina Slesareva, Export Area ManagerExport Area ManagerGiles Pickles, Head of International SalesHead of International Sales",+39 051 6328511
461,COLAC BVBA,www.colac.be,Biezenstraat 27 2340 Beerse Belgium,"Kelly De Schepper, Sales ExportSales ExportEvelien De Groof, Export CoordinatorExport Coordinator",+32 3 312 49 10
462,COLDPRESS FOODS LTD.,www.cold-press.com,12 Hammermsmith Grove W6 7AP London United Kingdom,"Andrew Gibb, Managing DirectorManaging DirectorLiam Wright, National Account ManagerNational Account Manager",+44 203 965 0541
463,COLD PRESSOK DOO,www.coldpressok.com,Dobracina 23a 11000 Belgrade Serbia,"Sandra Avramovski, DirectorDirectorBranimir Kostic, Chief Operating OfficerChief Operating Officer",+381 652039458
464,"COLEP CONSUMER PRODUCTS, S.A.",www.colep-cp.com,"Rua Manuel Pinto De Azevedo, 272 – 5º 4100-320 Porto Portugal","Marc Monteyne, Vice President Sales EuropeVice President Sales EuropeMarkus Ritter, Key Account ManagerKey Account Manager",+351 220 163 800
465,COLLALL B.V.,www.collall.nl,Electronicaweg 6 9503 EX Stadskanaal The Netherlands,"Walter Gerretzen, Sales Marketing ManagerSales Marketing ManagerHester van Rhijn, Manager General AffairsManager General Affairs",+31 599652190
466,LA COLLINA TOSCANA SPA,www.collinatoscana.it,Viale Europa 3 52018 Castel San Niccolò (AR) Italy,"Alberto Ricci, OwnerOwnerAndrea Ghezzi, Export ManagerExport Manager",+39 0575 5508232
467,COLORIS SP. Z O.O.,"www.coloris.biz/home,2,en.html","Mosciska, ul. Estrady 11a 05-080 Izabelin Poland","Barbara Grzymala, Marketing DirectorMarketing DirectorMartyna Melinska, Export ManagerExport Manager",+48 509 754 630
468,"COMERCIAL GRANELL, S.A.",www.cafesgranell.es,Av del Mar 5 46410 Sueca Spain,"Elena Granell, Export ManagerExport Manager",+34 961701479
469,COMERCIAL PERSAN S.A.,www.comercialpersan.com,Ctra. Madrid-Cartagena Km 388 Espinardo-Murcia 30100 Murcia Spain,"Victor Pereñiguez, Sales ManagerSales Manager",+34 968 306612
470,"COMEX BAKERY, S.L.U.",www.valentinasnacks.com,"Poligono Industrial El Pla II, Calle 6-1 46270 Villanueva de Castellon Spain","Miguel Colomer Peñaranda, General ManagerGeneral ManagerDavid Bradbury, Export ManagerExport Manager",+34 66 237 66 48
471,COMPAGNIA ALIMENTARE ITALIANA S.P.A.,www.sprayleggero.it,Via Ponte Tapino 19 03030 Broccostella Italy,"Giulia Messercola, Marketing ManagerMarketing Manager",+39 07761815910
472,COMPANIZED A/S,www.companized.com,Bygaden 15A 4320 Lejre Denmark,"Maj Britt Jensen, Key Account ManagerKey Account Manager",+45 267 157 57
473,COMPO GMBH,www.compo.de,Gildenstraße 38 48157 Muenster Germany,"Michael Wortmann, International Trade Marketing ManagerInternational Trade Marketing ManagerThomas Posdzich, Account ManagerAccount Manager",+49 251 327 7233
474,CONCEPT MANUFACTURING,www.conceptmanufacturing.com,346 Route Thomas Pesquet 76190 Valliquerville France,"Alexis Leducq, Responsable CommercialResponsable CommercialMarion Ferrand, Assistante commercialeAssistante commerciale",+33 2 35 95 20 70
475,CONDELI GMBH,www.condeli.at,Gewerbepark 1 4193 Reichenthal Austria,"Heinz Kaltenbäck, GeschäftsführerGeschäftsführerDieter Kuhn, Sales ManagerSales Manager",+43 7214 50136
476,CONDITO S.A. FOOD INDUSTRIAL UNIT,www.conditofoods.com,"Sindos Industrial Area, NB6 57 022 Thessaloniki Greece","Konstantinos Moraitis, Managing and Commercial DirectorManaging and Commercial DirectorMarietta Falierou, Export ManagerExport Manager",+30 2310 79505 5
477,CONFISERIE DU NORD,www.confiseriedunord.com,50 Rue De L'epidème 59200 Tourcoing France,"Martine Hau, Export ManagerExport ManagerPascal Banse, Export ManagerExport Manager",
478,CONFISERIE THIJS NV,www.confiserie-thijs.be,Industriepark Noord 20 9100 Sint-Niklaas Belgium,"Joris Thijs, Senior Candy OfficerSenior Candy Officer",+32 3 766 18 18
479,CONFITURE L'ARDENNAISE,www.confiturelardennaise.com,Route de Marche 2 4190 Xhoris Belgium,"Bernard Verhamme, OwnerOwnerAmelie Lamalle, CommercialeCommerciale",+32 4 228 91 59
480,"CONGALSA, S.L.",www.congalsa.com,"P. I. A Tomada, Parc. 13, 14 y 15 15940 Pobra do Caramiñal, La Coruña Spain","Julio Simarro, Sales DirectorSales DirectorDiana Jamardo, International SalesInternational Sales",+34 902 36 46 46
481,CONGELADOS DE NAVARRA,www.congeladosnavarra.com,"Ctra. NA - 134 Km. 16 31513 Arguedas, Navarra Spain","Ana Alava, Marketing ResponsableMarketing Responsable",+34 948 83 05 63
482,CONNECTED TO LIFE LTD.,www.veganpower.co.il,Haoren 3 9079003 Mevasert Zion Israel,"Armand Tordjman, OwnerOwner",+972 52426425
483,CONOR SRL,www.conorsrl.it/en-gb/home-en,Via delle Viti n. 5 40127 Bologna Italy,"Beatrice Pulz, Marketing DepartmentMarketing Department",+39 0519941111
484,CONRAD SCHULTE GMBH & CO. KG,www.schulte-feingebaeck.de,Bentelerstraße 9 33397 Rietberg Germany,"Conrad-Werner Schulte, Company OwnerCompany OwnerFrank Angenendt, Sales and Marketing ManagerSales and Marketing Manager",+49 2944 9820
485,CONSERVAS DANTZA S.A.,www.dantza.com,"Ctra. Nacional 113, Km. 77 31590 Castejón (Navarra) Spain","Laura Lara, Export ManagerExport Manager",+34 948 713 970
486,CONSERVAS EMPERATRIZ,www.conservasemperatriz.com,"Ctra. LR 115, Km. 35 26560 Autol (la Rioja) Spain","Javier Medrano Baquero, Marketing DirectorMarketing DirectorOscar de Miguel, Managing DirectorManaging Director",+34 941390072
487,CONSERVAS FRANCO RIOJANAS SAU,www.vegola.com,Polígono Industrial El Sequero Parcela 90-93 26150 Arrúbal Spain,"Daniel Santamaria, Sales and Marketing ManagerSales and Marketing ManagerJuan Pablo Nieto, Export ManagerExport Manager",+34 941143190
488,CONSERVAS FRISCOS SA,www.friscos.es,"Rúa do Concello, 56 36612 Catoira, Pontevedra Spain","Antonio Vázquez González, Sales and Marketing DirectorSales and Marketing DirectorSergio Ferreiro, AssistantAssistant",+34 986546160
489,CONSERVAS RIANXEIRA S.A,www.jealsa.com,Bodion s/n 15930 Boiro Spain,"Juan Carlos Carreira, Key Account ManagerKey Account ManagerMarcos Durán, Key Account ManagerKey Account Manager",+34 981 845400
490,CONSERVE ITALIA SOC. COOP. AGRICOLA,www.conserveitalia.it,Via Paolo Poggi 11 40068 San Lazzaro di Savena (BO) Italy,"Diego Pariotti, Head of Export DepartmentHead of Export Department",+39 051 622 8311
491,CONSOLIDATED BISCUIT CO. LTD.,www.cbiscuits.com,"Triq l-Imdina, Zone 4, Central Business District CBD 4010 Birkirkara Malta","Paul Magri, Export ManagerExport ManagerRobert Ellul, General ManagerGeneral Manager",+356 214 40361
492,"CONSORCIO ESPAÑOL CONSERVERO, SA",www.grupoconsorcio.com,Calle Eguilior 1 39740 Santoña Spain,"Ivan Gandara, Export Area ManagerExport Area ManagerPedro Alcantara, Export ManagerExport Manager",+34 664 385 521
493,CONSTANTIA FLEXIBLES,www.cflex.com,"Rivergate, Handelskai 92 1200 Vienna Austria","Peter Wallach, Senior Vice PresidentSenior Vice President",+43 1 888 5640 1000
494,CONSUMER CONVENIENCE TECHNOLOGIES,www.eeasylid.com,"5730 Webster Street Dayton, OH 45414 U.S.A.","Brandon Bach, PresidentPresidentJames Bach, Managing PartnerManaging Partner",+1 937 387 9244
495,CONTEC FOODS S.R.L.,www.contec.ro,Strada 1 Decembrie 1918 nr. 134 805300 Tecuci Romania,"Laura Grigoras, Export ManagerExport Manager",+40 725 222 125
496,CONTINENTAL CANDY INDUSTRIES B.V.,www.ccicandy.nl,De Bolder 40 9206 AN Drachten The Netherlands,"Ealse Stienstra, Commercial DirectorCommercial Director",+31 512 52 58 80
497,CONVENI,www.conveni.nl,Willige Laagt 2 5757 PZ Liessel The Netherlands,"Dick van Eijmeren, International Sales ManagerInternational Sales ManagerGiovanni Verhaert, Commercial ManagerCommercial Manager",+31 493 348 700
498,CONVOY-WORLD S.A.,www.convoy-world.com,"91 Slivnitsa Blvd, Convoy, Katina 1276 Sofia Bulgaria","Doychin Zaharinov, Export ManagerExport ManagerPanagiotis Kapanakis, Export ManagerExport Manager",+359 2 400 50 23
499,COOK INOV,www.cookinov.fr,Parc d'activités de l'Aulnay 28400 Nogent Le Rotrou France,"Félicien Baty, Export DirectExport DirectAlexandra Boisnard, Export Project ManagerExport Project Manager",+33 2 37 52 72 59
500,COOLBACK GMBH,www.coolback.de,Erdbeerstraße 1 14947 Jänickendorf Germany,"Stephan Weigel, Key Account ManagerKey Account ManagerHenry Lüdtke, Prokurist, Vertriebsleitung, MarketingProkurist, Vertriebsleitung, Marketing",+49 3371 68989 111
501,COOLIKE-REGNERY GMBH,www.coolike.de,Lilienthalstr. 2-4 64625 Bensheim Germany,"Ralf Pfeifer, Key Account ManagerKey Account ManagerDetlev Wendler, Sales DirectorSales Director",+49 6251 845050
502,COPPENRATH FEINGEBÄCK GMBH,www.coppenrath-feingebaeck.de,Telgweg 14 49744 Geeste Germany,"Niklas Woller, Export ManagerExport ManagerEike Borau, Head of SalesHead of Sales",+49 5937 39 0
503,EGL CORAL SP. Z O.O.,www.coreleg.pl,Fabryczna 5 05-084 Leszno Poland,"Medard Rybnik, Managing DirectorManaging DirectorMariusz Rybnik, Quality Control ManagerQuality Control Manager",+48 22 725 8008
504,CORMAN S.A.,www.corman.be,Route de Gileppe nº4 4834 Limbourg Belgium,"Michaël Barone, Export Sales ManagerExport Sales Manager",+32 87 34 22 11
505,CORMAN SPA,www.corman.it,"Via Liguria, 3b S.P. 40 Km 1,3 20084 Lacchiarella (MI) Italy","Paola Stevan, Senior Manager, Global MarketingSenior Manager, Global MarketingGiorgio Mantovani, Export Sales DirectorExport Sales Director",+39 02 900 8097
506,CORNELIUS GMBH,www.cornelius-wurstwaren.de,Zweite Industriestr. 9 68766 Hockenheim Germany,"Peter Cornelius, Inhaber und GeschäftsführerInhaber und GeschäftsführerAristidis Selalmazidis, Business Development and MarketingBusiness Development and Marketing",+49 6205 2999 0
507,CORNEXI FOOD KFT.,www.cornexifood.eu,Dorottya utca 2. 2700 Cegléd Hungary,"Norbert Hegedus, Commercial DirectorCommercial DirectorAnett Józsa, Export Sales RepresentativeExport Sales Representative",+36 20 4095588
508,CORNEXO GMBH,www.cornexo.de,Altdorfer Str. 6 67482 Freimersheim Germany,"Patrick Bindewald, Chief Executive OfficerChief Executive OfficerChristoph Fassbender, ProkuristProkurist",+49 6347 98216 0
509,CORONILLA S.A.,www.coronilla.com,Av. Villazón N° 3847. Km 3 Sacaba 1539 Cochabamba Bolivia,"Paola Mejia, Export ManagerExport Manager",+591 444717193
510,COROOS CONSERVEN B.V.,www.coroos.nl,P.O. Box 61 4420 AC Kapelle The Netherlands,"Lindy Koole, Innovation ManagerInnovation ManagerWim van Breugel, Chief Commercial OfficerChief Commercial Officer",+31 113 333 000
511,CORTE PARMA ALIMENTARE SRL,www.corteparma.it,Via Felice Da Mareto Padre Molga 1/A 43123 Parma Italy,"Eleonora Dalbeni, Export Area AssistantExport Area AssistantFederico Fagiani, Export Area ManagerExport Area Manager",+39 052 134 0893
512,COSMOLAB MANUFACTURING,www.cosmolab.co.uk,"Tooth Towers, Lagonda Road Cowpen Lane Industrial Estate TS23 4JA Billingham United Kingdom","Tom Riley, Managing DirectorManaging DirectorChris McPhillips, Sales DirectorSales Director",+44 1642690062
513,COSMOLIVE KOZMETIK SAN VE TIC AS,www.cosmolive.com.tr,Aosb Mah. M. Kemal Ataturk Blv. No: 8 Cigli 35620 Izmir Turkey,"Betül Türer Tekin, Export ManagerExport ManagerUfuk Coban, General ManagerGeneral Manager",+90 544 870 8281
514,COSMOSOL SRL,www.cosmosol.com,Via Quartiano 25 26837 Mulazzano (LO) Italy,"Stefano Simonini, Managing DirectorManaging DirectorMichela Di Maggio, Chief Operating ManagerChief Operating Manager",+39 02 9888911
515,COSMOWAY UAB,www.cosmoway.lt,Ežero g. 44 Piliuonos Village 53182 Kauno District Lithuania,"Marija Patricija Mažūnaitė, Export ManagerExport ManagerŽilvinas Dubosas, Chief Executive OfficerChief Executive Officer",+370 60691006
516,COSTA LIGURE S.R.L.,www.costaligure.it,Regione Prati Pescine snc 18018 Taggia Italy,"Carlotta Henke, Marketing ManagerMarketing ManagerDaniele Viale, Chief Executive OfficerChief Executive Officer",+39 0184 485343
517,COTOLAND D.O.O. SERBIA,www.cotoland.com,"Valjevski Put bb 15224 Cerovac, Sabac Serbia","Ivan Lazarevic, General ManagerGeneral ManagerMarko Gajic, Sales RepresentativeSales Representative",+381 15 300 400
518,"COTTON HIGH TECH, S.L.",www.cohitech.net,Colonia La Rabeia S/N 08660 Balsareny Spain,"Elena Gomez, Sales ManagerSales Manager",+34 938391628
519,COVIM SPA,www.covimcaffe.it,Via Gelasio Adamoli 241 E 16138 Genova (GE) Italy,"Paola Macoggi, Marketing ManagerMarketing ManagerLuca Solari, Export ManagerExport Manager",+39 0108351511
520,CPE GMBH,www.cosmeticsprivatelabel.de,Am Moosfeld 3 83417 Kirchanschöring Germany,"Yulia Bravhar, Private Label ManagerPrivate Label Manager",+386 147 09 100
521,CRASTAN SPA,www.crastan.it,"Via Maremmana 24, Z.I. Gello 56025 Pontedera (PI) Italy","Fabiano Benedetti Valentini, Responsabile Vendite ExportResponsabile Vendite ExportCristina Toni, Ufficio ExportUfficio Export",+39 0587 25921
522,CRAZY FRUITS SP. ZO.O.,www.crazy-fruits.pl,Planetarna 15 M9 62-020 Zalasewo Poland,"Szymon Sauer, DirectorDirectorPaulina Balcerak, Sales DirectorSales Director",+48 608 106 205
523,CRE-A-SOLVE AG,www.creasolve.ch,Im Ehrmerk 12 8360 Wallenwil Switzerland,"Andreas Dütsch, Chief Executive OfficerChief Executive OfficerFabian Oroshi, Sales ManagerSales Manager",+41 719 700 022
524,CREA,www.decamp.info,215 Avenue de la Roche Parnale 74130 Bonneville France,"Julien Bodo, Export ManagerExport Manager",+33 450 25 79 80
525,CREA SRL,www.creasrl.it,"Via Cuneo 114 12010 Cervasca, Cuneo Italy","Irvin De Stefano, AdministratorAdministratorErica De Stefano, DirectorDirector",+39 0171 611114
