,Company Name,Located,Comapany Website,Details
157,Cambridge Commodities ,I39 United Kingdom,https://www.cambridgecommodities.com,"Cambridge Commodities is the leading supplier of nutritional ingredients and product solutions to the sports nutrition, food & beverage, animal nutrition and health & wellbeing industries.We import nutritional ingredients from all over the world and hold stock of over 2500 materials on-site. We bring the newest ingredients to market, drive trends and are constantly looking forward to supplying products that meet the demands of consumer-driven marketplaces."
158,Cambridge Nutraceuticals ,N39 United Kingdom,https://www.camnutra.com,"We all want longer, healthier lives. We think supplements should help.FutureYou Cambridge exists to create supplements as they should be. Supplements that work. Supplements that help you the way you'd expect. Supplements sold by friendly, knowledgeable people who care about your wellbeing. That's why we only bring you products that are supported by published scientific data: we know that they work thanks to the independent scientists who help us select them. The formulations of our products ensure optimised absorption so your body can get exactly the right amount of exactly what matters."
159,Cannordic a/s ,O129 Denmark,http://https://www.cannasen.com/,"CANNORDIC, based in Copenhagen, Denmark, is an innovative and independent manufacturer of medical devices and cosmetics containing cannabinoids.CANNORDIC intends to provide high-quality products at a competitive price and strives to be on the forefront of understanding the medical device applications and introducing new, innovative products to the European patients in need. The company teams up with the most knowledgeable and best renown partners in the industry to achieve its goals and build strong and stable affiliate network."
160,Capsugel Belgium NV ,Israel,-,-
161,CAPSULIT GIGLIOLI SRL ,I232 Italy,http://capsulit.it,Capsulit Giglioli srl
162,Capsulit Iberica S.A.U. ,Spain,-,-
163,"Caregen Co., Ltd. ","E159 Korea, South",http://caregen.com/,"Caregen, a global leader in peptide research and development,is a global biotechnology company that has commercialized its patented peptides as many innovative products since its establishment in 2001. Over 600 different functional peptides developed by Caregen for the past 19 years have opened new paradigm in the field of biotechnology by expanding its applications to cosmeceutical, Class III medical devices, food supplement, and pharmaceuticals.Our innovative peptide-based products provide total health care solutions to many people around the world who are pursuing health and beauty."
164,Catalent – Consumer Health ,G60 France,https://consumerhealth.catalent.com/,"Catalent brings over 85 years of experience and expertise in softgel, fast-dissolve, and solid dose formulation development and supply for the over-the-counter, nutritional supplement and beauty markets. Catalent has produced consumer products for a wide range of consumers and product categories since 1933. With consumer-preferred dose forms and advanced development and commercial manufacturing expertise, Catalent helps differentiate and grow brands, to get better products to market faster. With a range of innovative, proven technologies and highly-versatile dose forms, and market-ready products, Catalent has a solution to meet a variety of consumer needs."
165,CEC Srl ,A89A Italy,http://www.ceceditore.com,"C.E.C. EditoreCEC is a Publishing Company founded in Milan in 1998 with the aim of publishing high quality scientific journals and books for Cosmetics and Nutraceuticals market. CEC stands out for his type of communication used, characterized by high scientific quality. CEC Editorial Board includes qualified experts from Industry, Foundations and Universities."
166,CEDEM AG ,Switzerland,https://cedemag.com/,"CEDEM AG is for healthier, happier and longer lives. We are a premium nutraceutical company that develops, markets, distributes and sells premium quality over-the-counter (OTC) CEDEM branded vitamins and food supplements worldwide. We’re a leader in specialized private label service and providers of a broad selection of healthcare products in MENA, Asia and some parts of Europe.We are focused on promoting improved health and wellness through premium quality and high value healthcare products that range from innovative and groundbreaking food supplements to medical devices and personal care products.Learn more at www.cedemag.com"
167,CEDEM AG ,United Kingdom,-,-
168,CeeBe bv ,K190 Belgium,http://www.ceebe.be,"CeeBe is the trusted supplier of international pharmaceutical wholesalers. Thanks to our eye for detail, our high production standards and our customer focus, we are able to create qualitative private label products. We offer a broad product range and a unique full-service approach. From the development and design of your product to the registration and legal documents."
169,Cellmark ,D154 Germany,https://www.cellmark.com/chemicals/segments/cellmark-ingredients/,"CellMark GmbH is part of CellMark Chemicals which is a division of CellMark AB group based in Goteborg Sweden. 800 employees, 70 offices, a turnover of 3 Billion €"
170,Cellmark ,Poland,-,-
171,Centro Sperimentale del Latte S.r.l. ,Italy,-,-
172,Centro Sperimentale del Latte srl ,B170 Italy,http://www.saccosystem.com/,". CSL (Centro Sperimentale Del Latte S.r.l) is an Italian-based business unit of SACCO System, which has more than 70 years in the bacterial fermentation industry. An extensive wealth of knowledge in the manufacturing of high-quality probiotic solutions, from design to delivery of finished products backed by clinical data.We are now looking to further expand our global footprint, which means that I am looking to develop collaborative partnerships with companies like yours in your country.As leaders in our field, we offer our partners a very flexible solution to their specific business requirements, which cover the following areas:I. In-Licensing of probiotics strainsII. Bulk probiotic raw materialIII. White labelled products, backed by clinical data.IV. Specific customer designed formulations, backed by clinical data.V. Branded formulations, backed by clinical data."
173,Changsung Softgel System Ltd. ,"N165 Korea, South",http://softgel.kr/softgel/index.html,"All roads for Soft Capsule Molding Machines lead to Changsung Softgel.Changsung Softgel is a specialized company for Soft Capsule Molding Machine related manufacturing and service.Based on extensive technology and experience built up over 50 yearsin industries such as medicine, bio, and cosmetics, we are leading the Softgel ManufacturingSystem field by providing products based on international certification standards of GMP, CE, and UL."
174,CHC Swiss AG ,Switzerland,-,-
175,Chemart International Trader Sp. z o.o. ,O31 Poland,http://chemart.pl,"We are a Polish company present in the market since 2002.The main area of our activity is import and distribution of raw materials and additives used in the production process in the food, drink, cosmetic industries as well as those of dietary supplements and functional foodstuffs. We deliver supplies to both market leaders and local manufacturers."
176,Chemical Inspection & Regulation Service Limited ,Ireland,-,-
177,Chemical Resources ,N100 India,https://fenfuro.com,"CHERESO is the manufacturer of high-quality active pharmaceutical ingredients, nutraceuticals and standardized extracts. CHERESO is a 100% Export Oriented Unit, approved by the Government of India and is a fast-growing company dedicated to the principles of tradition, innovation & research.Company Accreditations• Two state of the art WHO-GMP, NSF-GMP, ISO 9001:2015, ISO 22000:2018, ZED-Gold, FSSC 22000, Kosher and HALAL certified manufacturing facilities• 31 Patents• 26 Trademarks• Strong regulatory capabilities• In-house R&D led by a highly professional team• Pre-clinical & clinically evaluated ingredients confirming efficacy & safety• In-house analytical lab supported with latest instruments to meet regulatory compliances like 21 CFR etc.• Committed to achieving excellence in Environment, Health & Safety(EHS)• Well established global level documentation structure• ZED(GOLD) certified to achieve Zero defect production processes and Zero impact on the environmentTo know more, visit www.chereso.net or please write to us on info@chereso.net."
178,"Chemo Iberica, S.A ",G150 Spain,https://www.chemopharmaceuticals.com,"Chemo manufacture and package food supplements and Over-the-Counter (OTC) medicines, combining all our experience and knowledge with the flexibility and proactivity required by this category. We have extensive experience in the development process of new products, providing support throughout the value chain, from formulation to manufacturing, including stability studies, clinical trials and regulatory support.We have an extensive list of formulas ready to launch on the market within a wide range of therapeutic areas. The area dedicated to food supplements is located in our pharmaceutical facilities, which means that our products meet the strictest quality standards required by pharmaceutical production. One of our maxims is constant improvement and innovation in our activity. In this sense and in this continuous search to be better every day, our OTC division has the latest technology on the market and a specialized, dynamic, flexible and motivated team of people."
179,China Chamber Of Commerce For Imp & Exp Of Medicines & Health Products ,China,-,-
180,Chios Mastiha Growers Association ,I258 Greece,http://www.mastihashop.com,"Chios Mastiha Growers Association was founded in 1938 as a compulsory agricultural cooperative according to Law 1390 and represents an entity that has undertaken the exclusive management of natural Chios Mastiha in Greece and abroad.The Association produces, packages and trades Chios natural mastiha, mastiha oil, flavor and water, mastiha powder, mastiha capsules and tablets and ΕLMA chewing gum.Its trade activity is mostly exporting, since approximately 80% of Chios mastiha annual production is forwarded to foreign markets. It is also worth mentioning that the most important products of the Association have been qualified as Protected Designation of Origin (PDO) products."
181,Chr Hansen ,Germany,-,-
182,Chr. Hansen ,H114 Denmark,https://www.chr-hansen.com/en/human-health-and-probiotics,"We are a leading, global bioscience company that develops natural ingredient solutions for the food, nutritional, pharmaceutical and agricultural industries. Our natural solutions play a key role in creating a food system that is resilient and prepared to feed a growing population while also minimizing its adverse climate impact – ensuring greater sustainability from farm to fork.Our product innovation is based on almost 40,000 microbial strains – we like to refer to them as ‘good bacteria’. With the offset in our microbial platform, we are uniquely positioned to address some of society’s most pressing challenges such as climate change, food waste, global health and the overuse of antibiotics and pesticides.At Chr. Hansen Human Health we improve health and well-being for everyone – at every stage of life - with some of the world’s most studied and well documented probiotic strains. We do this in close collaboration with customers across the world. Our in-house strain-to-solution production process ensures live, stable and safe bacteria with proven health benefits.We are humbled and proud that Chr. Hansen several times has been recognized as a global sustainability leader. For five consecutive years (2018 – 2022) Chr. Hansen has been listed on Corporate Knights’ list of the Global 100 Most Sustainable Corporations. The inclusion on the list was cemented in 2019, 2020 and 2022 when we were ranked respectively no. 1, 2 and 2.We have been delivering value to our partners – and, ultimately, end consumers worldwide – for over 145 years. We are proud that more than one billion people consume products containing our natural ingredients every day.Let’s grow a better world. Naturally."
183,Cidrani d.o.o ,H70I Croatia,https://cidrani.com/,"Cidrani fermented microdrinks were created to improve metabolic health through a quick daily ritual. Western diet and a stressful, sedentary lifestyle has caused many to suffer from metabolic syndrome; an accumulation of inflammatory processes that affect everything in the body, and can contribute to autoimmune diseases. Combined with diet and exercise, fermented foods are scientiffically proven to increase microbiome diversity, in turn lowering the inflammatory processes that cause metabolic syndrome. Our microdrinks offer a simple solution that can be ready in just 2 seconds every day by simply folding the sachet and squeezeing the contents into a glass of water. We are the first in the world to offer functional beverages for gut health in this compact and practical format. Rather than probiotics, our microdrinks are rich in postbiotics, which have recently been proven to offer most of the benefits previously attributed to probiotics (the overconsumption of which can lead to adverse effects such as bloating and even brain fog). Compared to bottled kombuchas, our microdrinks are sweetened with organic honey or inulin fiber and contain 0 additives. They don’t require refrigeration and their compact size saves room during shipping, reducing their carbon footprint by 90%."
184,CKD BiO ,"Korea, South",http://www.youguth.com,"Beyond Probiotics, Microbiome SpecialistChong Kun Dang Bio (CKD Bio) is a pharmaceutical company that produces API and probiotics, committed toenhancing wellness and quality of life. Our dedication to helping people starts with excellence in research onmicrobial technology. With our cutting-edge fermentation technology, CKD Bio offers probiotics solutions includingprobiotics raw materials, clinically proven probiotics, finished-products and OEM/ODM/CRO services in our ownGMP facilities. We also opened doors to a new, state-of-the-art, establishing pharma-grade facilities in probioticsfield, as probiotics world trends are shifting from functional foods to pharmaceuticals.CKD Bio unwaveringly focuses on innovation, drives sustainable growth and leads the probiotics industry forward."
185,CKD BiO ,United Kingdom,-,-
186,Clubster NHL ,K137 France,https://www.clubster-nsl.com/,"Clubster Nutrition Health Longevity is a french competitiveness cluster and a network gathering 350 members committed to innovation in health and nutrition. Clubster NHL aims to connect academia, industry and health professionals and to foster innovation for better health and sustainable food. Its goal is to bring together and support stakeholders from the health and food sectors in designing, developing and financing their future products and processes."
187,Colorcon ,United Kingdom,-,-
188,Colorcon Ltd ,B128 United Kingdom,https://www.colorcon.com/,"Colorcon provides a wide range of film coatings, excipients and formulation development assistance. Our fully formulated, complete film coating systems, modified release technologies, and excipients assist all pharmaceutical and nutritional supplement companies in the development of cost-effective, high quality products with superior performance and appearance."
189,Colostrum Biotec Gmbh ,L30 Germany,https://colostrum-biotec.eu/,"The Colostrum BioTec GmbH is Europes market leader for high quality Colostrum.Our corporate philosophy is based on a holistic approach which is reflected through the entire production chain.The business portfolio includes the acquisition, production, processing and worldwide distribution of Colostrum. Located in Koenigsbrunn near Augsburg / Germany we produce Colostrum respectively Colostrum based food and supplements.The raw material can be collected EU-wide. In Germany and Austria it is collected through an own collecting system. As a leading manufacturer, Colostrum BioTec GmbH supplies colostrum vendors worldwide, guaranteeing a level of quality with emphasis on fair and sustainable use of valuable natural resources. This claim has been certified according to the International Featured Standard (IFS) and Food GMP."
190,"COMERCIAL QUIMICA MASSO, S.A. ",J49 Spain,http://greenplantsextracts.com,"The main activity of COMERCIAL QUIMICA MASSÓ is the distribution of natural specialties from principals that are recognized as leaders in various industries, as well as the commercialization of own development products sold under the company’s registered trademarks. That is all done with the aim to provide the maximum service to the clients, being that the reason behind our long stay in the market. In addition we offer the customer the product and the service requested, we also offer, if needed, technical and / or marketing support, providing, in short, ideas that translate into new business opportunities for customers and that generate value to both companies. In some areas."
191,Copalis ,K143 France,https://www.copalis.fr,"For more than 60 years, COPALIS INDUSTRIE has been processing marine co-products collected in Boulogne-sur-mer (First fish processing center in Europe).With a unique experience in the field of enzymatic hydrolysis, COPALIS INDUSTRIE offers a wide range of marine ingredients dedicated to the nutraceutical and nutricsometics markets."
192,Cos.Mec S.r.l. ,K241 Italy,http://www.cosmec-it.com,"Cos.Mec is a leading Italian manufacturer of powder handling and granulation equipment for the pharmaceutical, chemical, food and nutraceutical industries and it has been operating on international markets for over thirty years.By joining Freund group in November 2020, Cos.Mec further confirmed its export orientation, international ambition and determination to reach an increasingly large number of world markets.Our broad range of tailor-made equipment includes: bag emptying stations, vibrating sievers, hammer and cone mills, transport systems for powders, bins (IBCs), drums, High Shear Mixers, Fluid Bed Dryers, loading and unloading systems for HSMs and FBDs, granulators, turbulence screeners, bin mixers, ""V"" and bicone mixers, drum mixers, lifting columns, bin gravimetric unloading stations, washing stations, etc.All of Cos.Mec products, including granulation equipment such as our High Shear Mixers and Fluid Bed Dryers which were added to our portfolio in 2004, are manufactured in our three factories in Paderno Dugnano.As an Iso 9001 certified company, Cos.Mec guarantees that all equipment meet EC and cGMP standards.Cos.Mec key assets are its professionalism, the high quality and safety of its solutions and materials in relation to their price and its effective technical assistance services."
193,Creamy Creation B.V. ,N250 Netherlands,http://www.creamycreation.com,"At Creamy Creation we help our customers grow by offering turn key solutions for oa Sports Nutrition and Weight Management RTDs. From joint ideation all the way to delivery of the shelf ready RTD's, we support our customers every step of the process."
194,Creapharm Group ,J128 France,https://www.creapharm.com/,"Your customized partner for full-service solutions devoted to Pharma, Biotech & Food Supplement companies:- Design conception & packaging development- Innovative industrial solutions implementation- Blistering, filling, packing & repacking operations- Quality services & support: batch release, serialisation- Distribution (Pre-Wholesaler / ""Dépositaire"")- Regulatory & Licensing in (Marketing Autorisation Holder / ""Exploitant"")"
195,Croda Europe Ltd ,J170I United Kingdom,https://www.crodahealthcare.com/en-gb,"At Croda we aim to support your customer-focussed innovation. If you are looking for new pack claims for your brand, such as barrier repair and maintenance, water and wear resistance, faster acting formulations, or even natural formulations, Croda offer a wide range of excipients to support these claims and more. Our formulation laboratories at Croda can provide you with their years of experience, with optimising the sensorial properties of formulations across a wide array of formats. Whether you are looking for light touch and non-greasy topical formulations, or forms from spray on to spot on application, we have a formulation chassis which can help you move your formulation brand to fit with changing consumer needs for novel forms and applications. Whilst not losing sight of the fundamental formulation criteria needed to successfully bring a product to market around API solubility, stability, and bioavailability, and most importantly not compromising on formulation stability."
196,CSM EVENT ,A89B France,http://www.editionsbgm.fr/,"Fully bilingual (French-English), ACTIF’S Mag decrypts every three months, the growth of the nutraceutical market, the headlights applications of this sector in full growth. It also analyzes the particularly consistent regulations of these recent years to help market players build their development strategies: dietary supplements & dietetic products laboratories, functional food companies and ingredients suppliers."
197,Curtis Health Caps SA ,I161 Poland,http://https://chc.com.pl/en/,"We are Global CDMO specialized in soft gelatin capsules, non-sterile liquid form and R&D services.We are one of the leaders in the field of contract manufacturing of pharmaceutical products, medical devices, food supplements, veterinary products and cosmetics. We specialize in the production of soft capsules and non-sterile liquid forms.We also offer research and development services at all stages of the production of capsules, from idea to finished product."
198,Dah Feng Capsule ,B151 Taiwan,https://www.dfc.com.tw/,"Dah Feng Capsule (DFC) is established in 1967 and dedicates to providing reliable and high quality empty hard capsules for pharmaceutical and nutraceutical industry. With more than 50 years of expertise and experience, we keep making efforts on product development innovation, production innovation and territory innovation. Our good reputation for capsule expertise has connected more than 1,000 customers in Europe, America, Asia, Oceania."
199,Daila Srl ,Italy,-,-
200,DCC Health & Beauty Solutions ,H180 United Kingdom,https://www.thompsonandcapper.com/,"DCC Health & Beauty Solutions manufactures and supplies nutritional, cosmetic, health and pharmaceutical products to world-leading health and beauty companies.8 manufacturing sites, 3000 customers, 2600 experts.We are customer focused with a true partnership approach."
201,De Wit Speciality Oils B.V. ,H119 Netherlands,http://www.dewitoils.nl/,"De Wit Speciality Oils is a specialist in the production and supply of vegetable oils and marine oils rich in omega-3 and omega-6. We offer a wide range of speciality oils that can be used in the nutraceutical-, cosmetic-, food-, and animal feed industry.Product:Our portfolio offers high-quality oils and proteins as an essential ingredient for various products. We work closely with our customers and always put a strong emphasis on innovation. Trends and developments are followed and we adapt our range accordingly. This gives our customers the reassurance of receiving only top quality products. We are also able to bring your product direct to market by offering private label solutions.Production:By having an own production facility, New Holland Extraction, Ltd., we have the ability to closely monitor each step in the production process in order to ensure high quality, traceability and reliability. The oil is obtained either by cold pressing or by solvent extraction. Sustainability is an important element for us during the processing operation. We constantly innovate to ensure the latest sustainable technologies in order to produce superior oils.De Wit Speciality Oils is a Dutch family firm involved in seed cultivation and oil production since 1978. Our mission is to provide high-quality oils to support the health and wellbeing of people and animals while following sustainable practices."
202,Denk Ingredients GmbH ,G240 Germany,https://www.denkingredients.de/,"Headquartered in Munich, Germany, Denk Ingredients is an expert in the distribution and marketing of health ingredients with special expertise on branded ingredients. Through global cooperation with leading brands, our company is an exclusive provider of science-based ingredients inspired by emerging trends and innovation. With over 30 years of experience and industry knowledge, we are a full service distributor mainly serving European contract manufacturers and manufacturing enterprises across various industries. Our commited team consistently strives for excellent customer service and advises customers with extensive product knowledge. We are dedicated to the highest quality standards certified in Germany.Learn more: www.denkingredients.de"
203,Deretil Nature S.L.U. ,M39 Spain,http://www.deretilnature.com/,"Deretil Nature is a Spanish company that started its business in 2013 with the manufacturing of bioactive ingredients from natural origin, using only Spanish olive tree leaves and fruits, organic grape seeds and stevia. Our products are indicated to supply the nutraceutical, cosmetic, food and feeding markets. Our product portfolio include, among others, NaturOlive HT an ingredient obtained from the extraction of Spanish olive leaves, which is characterized for being standardized in concentrations of Hydroxytyrosol between 1.5 % - 20 %. It is an ingredient that has been endorsed by numerous clinical studies as well as claimed by EFSA given its benefits, for instance on cardiovascular health and its high antioxidant potential. Another outstanding ingredient is NaturOlive MA, extracted from Spanish olive fruit, due to its high content in triterpenes such as Maslinic Acid and Oleanolic Acid. This innovative ingredient is distinguished by its high and proven anti-inflammatory and analgesic properties, among other functionalities. Currently, NaturOlive MA is the extract based on the highest Maslinic Acid quality available in the market. Deretil Nature's manufacturing site is located in the South of Spain, in Villaricos - Almería and the Sales and Financial offices are in Barcelona."
204,DI RENZO REGULATORY AFFAIRS ,N240 Italy,https://www.direnzo.biz/it/,"37 years of experience at your disposal!Di Renzo Regulatory Affairs is an Italian consultancy company established in 1985 that relies on a staff of about 100 qualified experts, with knowledge in the marketing authorization of medicinal products, medical devices, biocides, cosmetics and food supplements (including probiotics), but also Foods for Specific Groups (infant formula and follow-on formula, processed cereal-based food and baby food, food for special medical purposes, total diet replacement for weight control), gluten-free foods, sports foods, foods for diabetics, foods containing added ingredients and biological food.The company has units dedicated to vigilance activities: pharmacovigilance, medical device vigilance, cosmetovigilance, post-marketing phytosurveillance and foodvigilance.Characterised by a strong international structure, it cooperates with the several regulatory consultancy companies in each country of the European Union and in many extra-EU countries."
205,Diephez ,K144 France,http://diephez.com,"Founded in 1983, Laboratoires DIEPHEZ is a french contract manufacturer, specialized in blister packaging for the Pharmaceutical and Food Supplement companies.Located in the east of France (close to Strasbourg), our family factory is GMP and Ecocert certified.Laboratoires DIEPHEZ is the industrial partner for all your blister packaging projects."
206,Dietmed Produtos Dieteticos e Medicinais SA ,M94 Portugal,http://dietmed.pt/en,"DIETMED: NATURE INSIDEFounded in 1987, DietMed has been operating in the health and wellness area from its very start. Focused on the development and distribution of healthcare products, dietary supplements, cosmetics and homeopathic products, the company currently offers more than 200 own-brand products. Our history tells of our many successes and sustained growth, which embolden us to take confident steps towards an increasingly brighter future.Our wish to contribute to creating a better, healthier world is the reason why we work every single day. We seek to identify needs, develop new solutions and continuously improve our products.Quality, Rigour and Innovation are part of our essence and guide all our actions. We strongly believe that the only way to succeed in today’s market is to ensure our achievements are equally shared by all parties involved: company, clients, consumers and business partners.Big changes are currently happening across the globe in the Healthcare area. Because we believe that natural alternatives are the only way forward, we want to be a part of this change. Therefore, we constantly seek to become better and to develop new skills, in order to overcome the challenges we face on a daily basis."
207,Dietopack Srl ,E118 Italy,http://www.doppel.it,"Dietopack is an Italian company that develops, manufactures and packages Food supplements, Foods for special medical purposes, Medical devices and Complementary feed for third parties. It is located near the city of Modena, in the centre of an industrial hub of excellence for the construction of packaging machines for the pharmaceutical industry.Dietopack it's certified according to ISO 9001, ISO 13485, ISO 22000, GMP FDA and ORGANIC PRODUCTION standards.Today Dietopack can satisfy any need in outsourcing and is a full-service partner for oral solid and liquid products."
208,Disproquima S.A. ,F30 Spain,https://disproquima.com/en/blog/29/flavoxale-an-exclusive-propolis-and-manuka-combination-,"Disproquima is an international company with over 45 years of experience in the Life Science Industry. We distribute raw materials and ingredients for the Pharma, Food, Personal Care and Feed industries. Thanks to our extensive expertise, our qualified team and our presence in four continents we are able to provide sales & marketing advice, quality & regulatory support, efficient logistics and full transparency. Our goal is to help our customers and partners achieve their objectives through our WORLD OF POSSIBILITIES.We can offer a wide range of products for the Pharmaceutical and Nutraceutical Industries such as APIs, Excipients, Functional Ingredients, Branded nutraceutical ingredients with clinical studies and Dossiers of finished products. Thanks to our experience in the sector, we offer ideas, development, knowledge and easy to use instructions to help you in the process of launching innovative products, improving the existing ones or introducing functional proposals into the market."
209,Divaks UAB ,H70F Lithuania,https://www.divaks.com/,"Divaks was founded in 2020 in Vilnius, Lithuania. Our company is developing tailor-made, high-quality ingredients derived from insects for the pets, plants and food industry.We are developing fully automated vertically integrated technology, which helps us to breed and rear our insects on an industrial scale in the most sustainable way. Our unique and innovative processing technique allows us to convert insects into high quality, nutritious and functional ingredients.Divaks` products range is available in powdered, textured and liquid form and can be used in many different applications - from protein fortification in all kinds of foods to meat substitutes production."
210,Divi's Laboratories Europe AG ,B48 Switzerland,http://divisnutraceuticals.com,"Relying on its expertise in molecular synthesis and production of stable product forms, Divi’s Nutraceuticals has specialized in the manufacture of fat-soluble ingredients and offers today more than 80 forms of carotenoids and vitamins, including beta-carotene, lycopene, lutein, zeaxanthin, apocarotenal, canthaxanthin, astaxanthin, as well as vitamins A, D and E. We serve customers in the dietary supplement, food, beverage and feed industries all over the world.Divi’s goal has always been and will remain to create value for all stakeholders in our field of activity – customers, suppliers and external partners – with high quality products and services. We collaborate with our clients and support them in the development of their projects thanks to versatile and personalized solutions."
211,Dolcas-Biotech LLC ,B109 United States of America,http://www.dolcas-biotech.com,"DolCas Biotech is a natural products ingredient firm, specializing in the commercial development and market positioning of clinically studied, patented brands. As an invested partner through the entire process, DolCas directs the evolution of science that supports these ingredients, the safety evaluations that bring assurance to the end-consumer and the marketing and service support that fuels innovation and growth for its customers."
212,DOMACO Dr. med. Aufdermaur AG ,L84 Switzerland,https://www.domaco.com/en/welcome/,"Natural Hightech is in the DNA of our Swiss family-run company and we have lived according to this value for 100 years. Our high quality requirements are represented in each product, the people and the environment, expressing the ecological and ethical standards of the enterprise. We are your personal expert in manufacturing customised and successful products for the pharmaceutical market, the food supplement market, as well as the food market For tailor-made products in our galenic forms:Soft Jellies, Pastilles, Lozenges, Instant Drinks, soft-melting Tablets."
213,DPE International Consulting ,United Kingdom,-,-
214,Dr. Harnisch International Publications ,A89G Germany,http://www.food-mt.com,"Dr. Harnisch Verlag is the leading publisher in the international food and beverage industry. Food Marketing & Technology and drinkworld are successful general industry trade magazines, whilst Wellness Foods & Supplements covers nutraceutical ingredients and food supplements. Completing our portfolio are Food Technologie and Getränke! for the German-language domestic industrial sector. New since 2019 is PetFoodPRO for manufacturers of animal nutrition products."
215,Dr. Paul Lohmann GmbH & Co. KGaA ,H190 Germany,http://www.lohmann4minerals.com,"Dr. Paul Lohmann® is the world’s leading manufacturer and provider of high value Mineral Salts for the food, nutritional supplement and pharmaceutical industry.Since 1886, a high level of flexibility and an innovative spirit enables Dr. Paul Lohmann® to respond to changing needs of ever-changing markets. Customers can profit from the broadest available portfolio of high value Minerals, with more than 400 products in a range of qualities, designed to provide optimum performance across a wide range of applications.In the GMP and FSSC 22000 certified facilities, mineral salts are manufactured at quality levels stipulated by pharmacopoeias, regulatory food guidelines or tailored according to customers’ specifications.Dr. Paul Lohmann® also carries out product and application development in close cooperation with customers. This includes the adaptation of chemical and physical parameters such as bulk density, wettability, particle size, purity or pH-value."
216,Driscoll Brothers Group Ltd ,United Kingdom,-,-
217,Dropi // Truewes ,O68 Iceland,http://dropi.com,"Dropi is a manufacturer of cold processed fish oil.Our clean fish oil is exclusively cold processed, using an extraction method that resemblesthe ancient technique developed by early Viking settlers. During cold processing,temperatures are kept below 42°C in order to preserve the natural properties, essential Omega-3 fatty acids and A&D vitamins found in the oil. On top of this, to keep our oil pure and clean, we do not use any artificial ingredients or preservatives. What you find in our bottles is 100% natural, extra virgin fish oil in its cleanest and rawest form."
218,DSM ,Spain,-,-
219,DSM Nutritional Products Europe Ltd. ,F80 Switzerland,https://www.dsm.com/corporate/home.html,"Royal DSM is a global, purpose-led company in Health, Nutrition & Bioscience, applying science to improve the health of people, animals and the planet. DSM’s purpose is to create brighter lives for all. DSM’s products and solutions address some of the world’s biggest challenges while simultaneously creating economic, environmental and societal value for all its stakeholders – customers, employees, shareholders, and society at large. The company was founded in 1902 and is listed on Euronext Amsterdam. More information can be found at www.dsm.com."
220,Duas Rodas Industrial Ltda ,B160 Brazil,https://duasrodas.com/naturals,"One of the five most innovative Brazilian companies in its segment, Duas Rodas is reference in ingredients for the Food, Beverage & Nutraceutical industry. Pioneer in the extraction of essential oils, it is the largest flavor house in Brazil, with more than 95 years of experience. Duas Rodas has presence in over 30 countries with seven manufacturing units in Latin America, three in Brazil and units in Argentina, Chile, Colombia and Mexico.Its broad portfolio include flavors, extracts, fruit and vegetable powders and flakes, all produced with internationally certified quality and safety, including products with international certifications such as Kosher, Halal, Organic Products and Fair for Life, FSSC22000 and SMETA."
221,Dynebio ,"B165 Korea, South",http://www.dynebio.co.kr,"Dyne Bio Inc. has been working to develop nature-origin heathcare raw material from oceanic bio resources over the past two decades and succeeded in developing Dyne-NAO (Neoagarooligosaccharides), a new bioactive compound from Red Algae. Dyne Bio decomposed agar enzymatically using world-first, globally-patented microbial β-agarase hydrolysis. The company has acquired two New Excellent Technology certifications, the Food Additives certification from Korean government for the enzyme and the New Dietary Ingredient (NDI) acknowledgment from US FDA for the produced raw material.In vivo and in vitro studies showed that Dyne-NAO supports weight management, modulates immune responses, and promotes healthy Cholesterol levels. Dyne Bio has fourteen SCI-level publications and twelve patent registrations for that matter. Now that the healthcare food raw material has shown its efficacious ingredient and biologically beneficial performances, Dyne Bio is working to commercialize it in the B2B Health Functional Foods and Nutraceutical industry."
222,EasyVit Pharmaceuticals BV ,M105 Netherlands,http://easyvit.com,"Easyvit offers an array of choices for Omega 3 dietary supplements for children; EasyFishoil. EasyFishoil is a fish oil supplement family, supporting children’s needs with its patented production technology and favoured chewable form. EasyFishoil is produced in Norway. The patented ConCordix® technology combines Omega 3 fatty acids with water and fat-soluble vitamins also minerals in emulsion form. The unique packaging technology creates a barrier against oxygen and moisture, keeping each Smart Chew hygienic and fresh as on the first day. Developed for the needs of your child, four different products of EasyFishoil offer fish oil and more. EasyFishoil is much more than just fish oil."
223,ECA Healthcare USA Inc. ,United States of America,http://www.eca-healthcare.com,"ECA Healthcare Inc., is an R&D driven fast growing company focusing on innovative and high quality ingredients and relevant applications. Our premium branded ingredients like BioPS, SunPS, DHAPS, PurePQQ, E-TPGS, Vegan vitamin D3 etc., have been widely used in many formulation with trademark shown on the label of finish products in North America and EU markets."
